2021 super output area - lower layer,mnemonic,Total: All usual residents aged 16 years and over,%,No qualifications,%,Level 1 and entry level qualifications,%,Level 2 qualifications,%,Apprenticeship,%,Level 3 qualifications,%,Level 4 qualifications or above,%,Other qualifications,%
North Northamptonshire 018F,E01035413,875,100,254,29,113,12.9,136,15.5,51,5.8,98,11.2,199,22.7,24,2.7
North Northamptonshire 018G,E01035414,960,100,263,27.4,108,11.2,122,12.7,58,6,128,13.3,255,26.6,26,2.7
North Northamptonshire 019A,E01027096,935,100,197,21.1,107,11.4,143,15.3,60,6.4,168,18,236,25.2,24,2.6
North Northamptonshire 019B,E01027097,1221,100,217,17.8,148,12.1,192,15.7,107,8.8,198,16.2,316,25.9,43,3.5
North Northamptonshire 019C,E01027098,930,100,170,18.3,105,11.3,162,17.4,72,7.7,181,19.5,209,22.5,31,3.3
North Northamptonshire 019D,E01027099,1259,100,217,17.2,153,12.2,206,16.4,119,9.5,197,15.6,312,24.8,55,4.4
North Northamptonshire 019E,E01027122,999,100,245,24.5,128,12.8,130,13,73,7.3,157,15.7,235,23.5,31,3.1
North Northamptonshire 020A,E01027119,1406,100,269,19.1,147,10.5,205,14.6,93,6.6,243,17.3,421,29.9,28,2
North Northamptonshire 020B,E01032972,1314,100,163,12.4,143,10.9,227,17.3,96,7.3,245,18.6,406,30.9,34,2.6
North Northamptonshire 020C,E01032973,1232,100,90,7.3,104,8.4,237,19.2,39,3.2,258,20.9,479,38.9,25,2
North Northamptonshire 020D,E01032974,1150,100,135,11.7,106,9.2,164,14.3,51,4.4,217,18.9,456,39.7,21,1.8
North Northamptonshire 021A,E01027084,1838,100,255,13.9,174,9.5,278,15.1,135,7.3,342,18.6,609,33.1,45,2.4
North Northamptonshire 021B,E01027085,1293,100,211,16.3,162,12.5,217,16.8,88,6.8,215,16.6,363,28.1,37,2.9
North Northamptonshire 021C,E01027086,1686,100,223,13.2,160,9.5,265,15.7,98,5.8,351,20.8,543,32.2,46,2.7
North Northamptonshire 021D,E01027120,1053,100,107,10.2,130,12.3,179,17,61,5.8,222,21.1,333,31.6,21,2
North Northamptonshire 021E,E01027121,1884,100,199,10.6,158,8.4,272,14.4,96,5.1,356,18.9,773,41,30,1.6
North Northamptonshire 022A,E01027100,1465,100,270,18.4,178,12.2,256,17.5,94,6.4,209,14.3,406,27.7,52,3.5
North Northamptonshire 022B,E01027114,1346,100,243,18.1,140,10.4,210,15.6,91,6.8,219,16.3,388,28.8,55,4.1
North Northamptonshire 022C,E01027130,1514,100,285,18.8,203,13.4,256,16.9,88,5.8,248,16.4,399,26.4,35,2.3
North Northamptonshire 022D,E01027131,1825,100,453,24.8,260,14.2,313,17.2,114,6.2,259,14.2,361,19.8,65,3.6
North Northamptonshire 023A,E01027091,1530,100,336,22,213,13.9,238,15.6,91,5.9,253,16.5,355,23.2,44,2.9
North Northamptonshire 023B,E01027092,1513,100,299,19.8,185,12.2,254,16.8,125,8.3,264,17.4,339,22.4,47,3.1
North Northamptonshire 023C,E01027102,1549,100,328,21.2,190,12.3,258,16.7,104,6.7,266,17.2,336,21.7,67,4.3
North Northamptonshire 023D,E01035415,1959,100,213,10.9,187,9.5,357,18.2,109,5.6,413,21.1,644,32.9,36,1.8
North Northamptonshire 023E,E01035416,1592,100,288,18.1,182,11.4,267,16.8,102,6.4,319,20,405,25.4,29,1.8
North Northamptonshire 024A,E01027057,1886,100,293,15.5,188,10,291,15.4,114,6,349,18.5,588,31.2,63,3.3
North Northamptonshire 024B,E01027074,1762,100,314,17.8,165,9.4,264,15,128,7.3,259,14.7,585,33.2,47,2.7
North Northamptonshire 024C,E01027078,1794,100,312,17.4,167,9.3,264,14.7,131,7.3,278,15.5,607,33.8,35,2
