2021 super output area - lower layer,mnemonic,Total: All households,%,Household is not deprived in any dimension,%,Household is deprived in one dimension,%,Household is deprived in two dimensions,%,Household is deprived in three dimensions,%,Household is deprived in four dimensions,%
North Northamptonshire 008E,E01032966,893,100,572,64.1,252,28.2,53,5.9,16,1.8,0,0
North Northamptonshire 008F,E01032967,833,100,530,63.6,237,28.5,55,6.6,11,1.3,0,0
North Northamptonshire 020A,E01027119,744,100,365,49.1,247,33.2,106,14.2,25,3.4,1,0.1
North Northamptonshire 020B,E01032972,652,100,366,56.1,209,32.1,69,10.6,8,1.2,0,0
North Northamptonshire 020C,E01032973,591,100,385,65.1,173,29.3,28,4.7,4,0.7,1,0.2
North Northamptonshire 020D,E01032974,588,100,361,61.4,175,29.8,46,7.8,6,1,0,0
North Northamptonshire 023A,E01027091,802,100,316,39.4,309,38.5,142,17.7,35,4.4,0,0
North Northamptonshire 023B,E01027092,758,100,363,47.9,279,36.8,98,12.9,18,2.4,0,0
North Northamptonshire 023C,E01027102,804,100,364,45.3,308,38.3,105,13.1,27,3.4,0,0
North Northamptonshire 023D,E01035415,1000,100,645,64.5,270,27,74,7.4,11,1.1,0,0
North Northamptonshire 023E,E01035416,889,100,455,51.2,288,32.4,116,13,30,3.4,0,0
